Year,QLD_Apr_Mar,SOI_Jun_Mar,TPI_Jul_Jun_+01,SOI_TPI
1890,929,1.9,-0.244996891,-0.699675
1891,585,-3.23,-0.245996891,1.1926775
1892,598,6.83,-1.245663557,-9.349700836
1893,822,8.34,-0.998246891,-9.35331
1894,811,0.63,-0.718246891,-0.530145
1895,724,-3.32,0.143086443,-0.065846666
1896,453,-17.42,0.822919776,-12.18819334
1897,717,3.55,-0.144413557,-0.950216668
1898,509,4.14,-0.277330224,-1.658414999
1899,368,-4.79,1.137336443,-4.857459165
1900,484,1.09,0.407669776,0.310014167
1901,342,2.18,0.440836443,0.692331666
1902,454,-3.81,1.348419776,-4.667885001
1903,724,7.54,-0.196663557,-2.412171669
1904,486,-8.46,1.313836443,-10.072335
1905,629,-12,1.056169776,-11.195
1906,621,7.86,-0.168330224,-2.291844997
1907,746,0.07,0.366003109,0.0169925
1908,514,2.19,-0.160746891,-0.62196
1909,782,9.57,-1.057413557,-11.29898
1910,804,12.18,-0.463580224,-7.147629996
1911,448,-10.21,0.636419776,-5.23943167
1912,684,-3.89,0.234503109,-0.4327625
1913,592,-4.47,0.751919776,-2.810140001
1914,393,-13.05,1.044586443,-12.0234
1915,473,2.86,-0.449330224,-1.637588332
1916,921,12,-1.613580224,-20.842
1917,863,20.19,-0.840580224,-19.45979499
1918,398,-8.2,0.830336443,-5.798083331
1919,410,-6.69,0.334086443,-1.410474998
1920,774,5.82,-0.325996891,-2.614635
1921,730,7.22,-0.089330224,-1.534851664
1922,383,5.72,-0.364080224,-2.787546665
1923,558,-6.24,0.059919776,0.395199998
1924,746,9.34,-0.766413557,-8.30948667
1925,350,-9.77,0.961003109,-8.1848175
1926,540,2.17,0.059919776,-0.137433333
1927,571,1.86,0.262419776,0.258850001
1928,573,7.22,-0.007663557,-0.945218336
1929,557,4.92,0.460253109,1.65804
1930,466,-1.68,1.294503109,-1.9677
1931,477,1.62,0.236753109,0.18387
1932,493,-3.94,-0.056830224,0.709528332
1933,706,2.69,-0.471413557,-1.599653334
1934,433,1.38,-0.022746891,-0.20148
1935,621,1.33,0.347419776,0.298141667
1936,579,-0.64,0.201253109,-0.04992
1937,446,1.14,-0.364163557,-0.555655
1938,585,12.18,-0.462496891,-7.134435
1939,751,-4.94,0.918503109,-3.928535
1940,632,-16.3,1.471003109,-21.968325
1941,448,-12.28,0.890253109,-9.41876
1942,618,6.22,-0.920913557,-6.494716669
1943,579,1.42,-0.423746891,-0.77674
1944,506,0.66,-0.325413557,-0.29612
1945,567,3.78,-0.217496891,-1.288035
1946,492,-5.68,0.141669776,-0.104606669
1947,503,3.36,-0.045746891,-0.56784
1948,651,-1.03,-0.454996891,0.5955975
1949,769,3.13,-1.076830224,-3.756260832
1950,932,14.45,-0.770830224,-12.91950416
1951,318,-4.2,0.228336443,-0.441349999
1952,687,-1.73,-0.012663557,0.235135834
1953,645,-3.81,-0.017830224,0.537527499
1954,798,4.88,-0.783830224,-4.426566665
1955,895,13.73,-1.264580224,-19.05495166
1956,766,6.91,-0.419830224,-3.752705831
1957,484,-6.33,0.883919776,-4.815020002
1958,613,-2.06,0.311169776,-0.387108334
1959,539,1.11,0.020836443,-0.1136825
1960,448,1.21,-0.036163557,-0.192894167
1961,577,3.69,-0.618080224,-2.735519999
1962,669,5.01,-0.335913557,-2.300425002
1963,514,-4.79,0.196253109,-0.34967
1964,471,5.55,-0.298496891,-2.3407125
1965,449,-11.84,0.841336443,-8.502106663
1966,512,3.05,-0.032496891,-0.4750375
1967,597,2.03,-0.481246891,-1.227135
1968,437,-0.48,0.486669776,-0.17444
1969,493,-4.96,0.381419776,-1.280506668
1970,667,10.62,-1.022163557,-12.164325
1971,683,7.63,-0.464830224,-4.487075831
1972,590,-9.66,0.569586443,-4.311579997
1973,1178,15.97,-1.124080224,-19.91991333
1974,645,5.17,-0.771413557,-4.625426668
1975,888,16.87,-0.962913557,-18.32363167
1976,706,-3.37,0.556086443,-1.458648332
1977,475,-12.52,0.404253109,-3.51812
1978,831,0.47,0.034753109,-0.041595
1979,472,-2.49,0.469169776,-0.861332501
1980,599,-3.35,0.180419776,-0.191508334
1981,617,4.9,0.293336443,0.833408332
1982,343,-24.89,1.559169776,-35.73996584
1983,843,0.42,0.260169776,0.057505
1984,493,-0.31,-0.328996891,0.1401975
1985,510,-1,0.010003109,0.11325
1986,548,-5.68,0.985253109,-4.89616
1987,453,-7.91,0.791919776,-5.289153336
1988,631,11.78,-0.895580224,-12.00185666
1989,631,-1.04,-0.116496891,0.24934
1990,877,-1.69,0.151753109,-0.048165
1991,412,-12.72,1.043253109,-11.7024
1992,489,-7.21,0.816503109,-4.9983325
1993,531,-7.13,0.716586443,-4.230466664
1994,445,-9.9,0.646836443,-5.183474997
1995,561,1.69,-0.106746891,-0.3887
1996,694,5.24,0.242419776,0.624433335
1997,586,-18.15,1.483419776,-24.68702501
1998,844,11.52,-0.904746891,-11.84256
1999,713,6.99,-0.990830224,-7.787442498
2000,803,7.28,-0.500663557,-4.542113336
2001,484,-0.73,-0.251496891,0.2735675
2002,401,-7.69,0.530669776,-3.133034169
2003,570,-1.14,0.220336443,-0.110675
2004,440,-7.94,0.324669776,-1.599248336
2005,559,3.61,-0.362830224,-1.754760832
2006,597,-6.84,0.441669776,-2.177970002
2007,707,8.07,-0.889830224,-8.175582497
2008,731,9.72,-0.413830224,-5.220449997
2009,710,-6.47,0.570336443,-2.892629165
2010,1129,19.14,-1.197580224,-25.28074999
2011,754,8.36,-0.689830224,-6.797376664
2012,506,-0.84,-0.155246891,0.23394
2013,518,3.09,-0.283163557,-1.255827501
2014,458,-6.54,0.509253109,-2.52444
2015,511,-14.3,1.229003109,-15.812225
2016,688,3.06,-0.130246891,-0.77571
2017,524,4.08,-0.653330224,-3.168459999
2018,526,-2.95,0.085086443,0.112591668
2019,443,-5.93,-0.147080224,1.603076665
2020,556,7.29,-1.030080224,-8.407799998
2021,617,9.15,-1.226330224,-12.3486875
2022,919,13.57,-1.060246891,-16.060095
2023,712,-5.74,0.325086443,-1.158523331
